Id,sf_lms_Authored_Language__c,sf_lms_Class_Type__c
a858M0000004H2SQAU,,Virtual
a858M0000004H2NQAU,,In-Person
a858M0000004H5lQAE,,In-Person
a858M0000004H8QQAU,,In-Person
a858M0000004H94QAE,en_US,Virtual
a858M0000004HBUQA2,en_US,Virtual
a858M000000Cc8HQAS,fr,In-Person;Virtual
a858M0000004HDuQAM,de,In-Person
a858M0000004HDzQAM,en_US,In-Person;Virtual;On-Demand
a858M0000004HE4QAM,en_US,In-Person
a858M000000Cc8bQAC,fr,In-Person;Virtual
a858M000000Cc8XQAS,fr,In-Person;Virtual
a858M0000004HE9QAM,en_US,Virtual
a858M0000004HETQA2,fr,In-Person;Virtual;On-Demand
a858M0000004HWDQA2,en_US,Virtual
a858M0000004HGeQAM,en_US,In-Person
a858M0000004HGPQA2,en_US,In-Person;On-Demand
a858M0000004HGZQA2,de,In-Person;Virtual
a858M0000004HGUQA2,en_US,In-Person;Virtual
a858M0000004HH8QAM,de,In-Person
a858M0000004HGoQAM,en_US,Virtual
a858M0000004HH3QAM,en_US,In-Person
a858M0000004HHNQA2,en_US,In-Person;On-Demand
a858M0000004HHIQA2,de,In-Person
a858M0000004HGjQAM,en_US,Virtual
a858M0000004HGyQAM,en_US,In-Person
a858M0000004HHDQA2,de,In-Person
a858M0000004HW8QAM,en_US,Virtual
a858M0000004HIVQA2,en_US,Virtual
a858M0000004HIBQA2,en_US,In-Person
a858M0000004HXGQA2,es,In-Person;On-Demand
a858M0000004HHhQAM,en_US,In-Person
a858M0000004HHwQAM,en_US,Virtual
a858M0000004HHmQAM,en_US,Virtual
a858M0000004HHrQAM,en_US,Virtual
a858M0000004HI1QAM,en_US,In-Person
a858M0000004HI6QAM,en_US,Virtual
a858M0000004HIaQAM,en_US,Virtual
a858M0000004HIfQAM,en_US,In-Person
a858M0000004HIpQAM,en_US,In-Person
a858M0000004HIuQAM,en_US,Virtual
a858M0000004HIzQAM,ja,Virtual
a858M0000004HJ4QAM,fr,Virtual
a858M0000004HIkQAM,en_US,Virtual
a858M0000004HSfQAM,en_US,In-Person;Virtual
a858M0000004HVPQA2,en_US,Virtual
a858M0000004HJOQA2,en_US,Virtual
a858M0000004HLAQA2,en_US,In-Person
a858M0000004HVZQA2,en_US,Virtual
a858M0000004HNzQAM,en_US,In-Person;Virtual
a858M0000004HTYQA2,en_US,In-Person;Virtual
a858M0000004HL0QAM,en_US,In-Person
a858M0000004HT9QAM,ja,Virtual
a858M0000004HR8QAM,en_US,Virtual
a858M0000004HRwQAM,en_US,In-Person;Virtual
a858M0000004HSuQAM,en_US,In-Person;Virtual
a858M0000004HOOQA2,ja,In-Person
a858M0000004HT4QAM,en_US,In-Person;Virtual
a858M0000004HRmQAM,en_US,Virtual
a858M0000004HL5QAM,fr,In-Person;Virtual
a858M0000004HTOQA2,en_US,Virtual
a858M0000004HKgQAM,en_US,Virtual
a858M0000004HTdQAM,en_US,In-Person;Virtual
a858M0000004HOJQA2,en_US,In-Person;Virtual
a858M0000004HTiQAM,en_US,Virtual
a858M0000004HKRQA2,pt_BR,In-Person;Virtual;On-Demand
a858M0000004HOdQAM,en_US,Virtual
a858M0000004HR3QAM,en_US,In-Person;Virtual
a858M0000004HJEQA2,fr,In-Person;Virtual;On-Demand
a858M0000004HJdQAM,pt_BR,In-Person;On-Demand
a858M0000004HJsQAM,en_US,Virtual
a858M0000004HKbQAM,fr,In-Person;On-Demand
a858M0000004HTnQAM,en_US,Virtual
a858M0000004HJYQA2,en_US,Virtual
a858M0000004HUCQA2,fr,Virtual
a858M0000004HUWQA2,en_US,Virtual
a858M0000004HS1QAM,pt_BR,In-Person;On-Demand
a858M0000004HUgQAM,en_US,In-Person;Virtual
a858M0000004HUlQAM,en_US,Virtual
a858M0000004HOEQA2,en_US,In-Person;Virtual
a858M0000004HV0QAM,en_US,In-Person
a858M0000004HV5QAM,fr,Virtual
a858M0000004HVAQA2,en_US,Virtual
a858M0000004HSkQAM,en_US,In-Person;Virtual
a858M0000004HUqQAM,en_US,Virtual
a858M0000004HVFQA2,en_US,Virtual
a858M0000004HVUQA2,en_US,Virtual
a858M0000004HJnQAM,en_US,In-Person;Virtual;On-Demand
a858M0000004HVKQA2,en_US,Virtual
a858M0000004HSaQAM,en_US,In-Person;Virtual
a858M0000004HVeQAM,en_US,Virtual
a858M0000004HVjQAM,en_US,Virtual
